REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,94110,Chemical plant machine operators,7640
2021,Canada,94111,Plastics processing machine operators,13725
2021,Canada,94112,Rubber processing machine operators and related workers,5150
2021,Canada,94120,Sawmill machine operators,6170
2021,Canada,94121,"Pulp mill, papermaking and finishing machine operators",4870
2021,Canada,94122,Paper converting machine operators,3550
2021,Canada,94123,Lumber graders and other wood processing inspectors and graders,2480
2021,Canada,94124,Woodworking machine operators,6655
2021,Canada,94129,Other wood processing machine operators,2115
2021,Canada,94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers",2745
2021,Canada,94131,"Weavers, knitters and other fabric making occupations",2220
2021,Canada,94132,Industrial sewing machine operators,13660
2021,Canada,94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing",1565
2021,Canada,94140,"Process control and machine operators, food and beverage processing",49275
2021,Canada,94141,"Industrial butchers and meat cutters, poultry preparers and related workers",16575
2021,Canada,94142,Fish and seafood plant workers,6850
2021,Canada,94143,"Testers and graders, food and beverage processing",7620
2021,Canada,94150,Plateless printing equipment operators,6730
2021,Canada,94151,"Camera, platemaking and other prepress occupations",1970
2021,Canada,94152,Binding and finishing machine operators,3380
2021,Canada,94153,Photographic and film processors,1240
2021,Canada,94200,"Motor vehicle assemblers, inspectors and testers",68840
2021,Canada,94201,"Electronics assemblers, fabricators, inspectors and testers",12970
2021,Canada,94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing",7205
2021,Canada,94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers",2450
2021,Canada,94204,Mechanical assemblers and inspectors,10505
2021,Canada,94205,"Machine operators and inspectors, electrical apparatus manufacturing",885
2021,Canada,94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors",17375
2021,Canada,94211,Assemblers and inspectors of other wood products,8265
2021,Canada,94212,"Plastic products assemblers, finishers and inspectors",4980
2021,Canada,94213,"Industrial painters, coaters and metal finishing process operators",14960
2021,Canada,94219,"Other products assemblers, finishers and inspectors",20435
2021,Canada,95100,Labourers in mineral and metal processing,9815
2021,Canada,95101,Labourers in metal fabrication,13485
2021,Canada,95102,Labourers in chemical products processing and utilities,19655
2021,Canada,95103,"Labourers in wood, pulp and paper processing",17830
2021,Canada,95104,Labourers in rubber and plastic products manufacturing,9185
2021,Canada,95105,Labourers in textile processing and cutting,5900
2021,Canada,95106,Labourers in food and beverage processing,85620
2021,Canada,95107,Labourers in fish and seafood processing,7940
2021,Canada,95109,"Other labourers in processing, manufacturing and utilities",88575
